"SelectionCritera","vendorId","vendorName","purchaseOrder","1099","checkNumber","accountingUnitId","description","salesTax","amount","invoice","pf","date","control"
"transact.yr='17' and transact.period='3'","33556   ","4IMPRINT              ","171712      ","N"," 69131   ","1111420401009999-329-2200","ITEM #107814          ","       0.00","      1432.00","4874742 ","F","09/29/16","APSG0921"
"transact.yr='17' and transact.period='3'","33556   ","4IMPRINT              ","171712      ","N"," 69131   ","1111420401009999-329-2200","FREIGHT               ","       0.00","        70.18","4874742 ","F","09/29/16","APSG0921"
"transact.yr='17' and transact.period='3'","33556   ","4IMPRINT              ","171712      ","N"," 69131   ","1111420401009999-329-2200","SET UP CHARGE FOR ARTW","       0.00","        45.00","4874742 ","F","09/29/16","APSG0921"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170178      ","N"," 68528   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       185.00","47237   ","P","09/01/16","APSG0820"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170178      ","N"," 68528   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       185.00","47238   ","P","09/01/16","APSG0820"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170178      ","N"," 68528   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       111.00","47291   ","P","09/01/16","APSG0820"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170178      ","N"," 68528   ","1108021199991280-329-7600","BLANKET PURCHASE ORDER","       0.00","       370.00","47292   ","P","09/01/16","APSG0820"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 68528   ","1108021031006000-408-3700","TRAILER RENTAL #1 FOR ","       0.00","       125.00","47317   ","P","09/01/16","APSG0820"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 68528   ","1108021031006000-408-3700","TRAILER RENTAL #3 FOR ","       0.00","       125.00","47318   ","P","09/01/16","APSG0820"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 68667   ","1108021031006000-408-3700","TRAILER RENTAL #4 FOR ","       0.00","       125.00","47360   ","P","09/08/16","APSG0830"
"transact.yr='17' and transact.period='3'","30724   ","A.H. HATCHER INC.     ","170128      ","N"," 69209   ","1108021031006000-408-3700","TRAILER RENTAL #2 FOR ","       0.00","       125.00","47501   ","P","09/29/16","APSG0921"
